model_name,city,version,rmse,max_error,explained_variance_score
abr,hcm,0,100.52658424926008,811.3441998995855,0.5050505024189645
cat,hcm,0,72.38484757278383,785.496965763191,0.6333501629252268
etr,hcm,0,71.60792682718508,856.8780140179239,0.6263532695063341
gbr,hcm,0,70.83885684519818,619.043548550495,0.6892174843080269
knr,hcm,0,132.62873534886967,883.0536094165009,0.1251571012545569
la,hcm,0,125.22396941724537,881.5154333173396,0.1445569066487332
lgbm,hcm,0,67.79788307986787,782.9550939237736,0.7586622025459855
linear,hcm,0,122.69516601651789,874.639685392116,0.267692488645459
mlp,hcm,0,116.77443897929872,804.7207642210872,0.29913180217358804
rf,hcm,0,66.54477758007752,615.7789809144831,0.7099329503992835
ridge,hcm,0,124.20814907583234,871.8480297257574,0.16751926672496378
xgb,hcm,0,67.01629343622307,534.7016906738281,0.661055170190228
bagging,hcm,0,66.28231467188753,581.4318514765089,0.6629399065938762
BKPrice Post Processing,hcm,0,53.15555391603062,603.5148980181466,0.7404122383949683
abr,hn,0,94.10375808941198,549.1612370375422,0.47329767065616213
cat,hn,0,62.04344609920155,524.9508197418778,0.6684837985377687
etr,hn,0,67.39663764392361,602.1869848690931,0.6906297883584537
gbr,hn,0,64.59075373967687,556.8828379915103,0.7034588276446695
knr,hn,0,122.19259097312468,863.6492234309244,0.23521412049247792
la,hn,0,116.75069308722917,731.1474177451637,0.3069653815116483
lgbm,hn,0,64.72882462540156,470.6661141001312,0.669111051636425
linear,hn,0,116.10955796981149,723.5851894424385,0.27033701975328217
mlp,hn,0,89.44592489104339,655.1352476444356,0.47975371011804413
rf,hn,0,63.0849537383273,513.8235795420417,0.7117927606968952
ridge,hn,0,116.31195395877916,723.5887713782803,0.3203074227785983
xgb,hn,0,64.06522262814282,536.4592488606771,0.7684059768073253
bagging,hn,0,62.4563342822791,528.6523935294051,0.7714464367903578
BKPrice Post Processing,hn,0,49.567687966680175,422.93151778373226,0.8474040203731589
abr,hcm,1,97.79474830377944,799.7239914140132,0.6449797777921374
cat,hcm,1,63.712231686025845,812.8206351037861,0.8010075288109344
etr,hcm,1,64.19564662483971,875.503643162212,0.7978212701436849
gbr,hcm,1,63.29479666594586,637.2008720547394,0.8038481164914462
knr,hcm,1,113.75797686003844,832.7482968800507,0.3788199602743808
la,hcm,1,81.07249635250398,890.6810706249262,0.6785654511979196
lgbm,hcm,1,60.887651895476914,809.0780458133745,0.8182737883971964
linear,hcm,1,79.98201564552859,886.0908226966858,0.6881791974892739
mlp,hcm,1,77.36376511810809,864.9099026669617,0.7157321279011237
