lat,lon,university,fuel,cafe,parking,parking_entrance,fast_food,marketplace,restaurant,hospital,school,kindergarten,townhall - community_centre,police,place_of_worship,bank,atm
21.036403,105.727235,0,0,0,0,0,0,0,0,0,2,1,0,1,9,0,0
20.985272,105.843605,1,5,2,4,0,1,1,5,1,9,6,0,1,1,11,13
20.978546,105.796775,6,1,9,0,0,1,1,2,1,10,3,0,3,4,2,13
21.028933,105.855453,2,3,243,11,1,50,6,375,9,21,5,0,14,32,54,291
21.0460937,105.8002357,4,3,20,21,5,4,4,12,0,12,5,0,5,10,7,18
21.0536611,105.8122562,1,1,8,7,1,3,4,13,3,4,3,0,3,21,3,5
10.843992,106.664704,0,3,15,0,0,1,1,2,0,14,0,0,0,18,7,4
10.799708,106.69351,1,7,42,0,0,14,3,43,7,17,0,0,1,24,26,8
21.062787,105.807466,1,0,10,4,1,3,0,6,1,5,2,0,3,5,1,4
10.8061458,106.7445753,0,2,18,5,0,11,1,28,0,9,2,0,0,6,2,5
21.0623173,105.7248362,2,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0
20.995976,105.848687,5,5,8,2,2,11,1,10,2,22,10,0,9,3,18,38
21.063209,105.903308,0,2,15,7,0,0,0,12,3,15,4,0,3,3,0,2
21.016988,105.849281,1,4,122,6,5,28,2,203,12,22,14,0,13,11,48,137
20.9753072,105.7621905,2,0,3,1,0,0,0,2,0,9,0,0,0,2,0,0
21.0634544,105.8330554,0,0,27,9,0,2,2,40,1,4,3,0,2,7,4,13
20.998322,105.867558,1,3,8,1,3,2,3,6,3,12,7,0,3,2,3,22
21.007827,105.814396,1,6,25,6,4,23,3,46,5,20,5,0,8,6,24,52
20.971822,105.783025,2,3,8,2,3,1,2,12,4,16,2,0,2,4,4,18
10.775504,106.615699,0,6,0,0,0,1,2,1,0,6,0,0,0,0,2,2
21.000238,105.802417,6,6,13,2,2,2,1,9,1,24,8,0,4,2,20,31
20.996592,105.810411,4,3,11,0,3,18,4,37,3,25,5,0,6,4,9,23
10.770856,106.682888,9,6,74,6,0,16,10,126,8,19,6,0,3,19,34,25
21.010484,105.818445,3,5,22,6,3,20,4,46,5,15,4,0,8,8,16,64
21.035696,105.762105,3,0,4,3,0,1,0,3,2,15,2,0,3,2,2,5
21.0420822,105.7750737,13,2,25,19,17,6,1,25,3,16,6,0,5,4,8,6
20.992373,105.849476,3,3,3,0,0,7,0,6,1,18,10,0,8,3,12,23
21.040807,105.76415,5,2,7,3,0,1,0,5,1,15,3,0,3,1,2,5
21.0087543,105.9681083,0,2,1,0,0,0,0,0,0,3,1,0,0,5,0,0
10.7342533,106.7084591,2,2,13,10,0,11,0,49,4,8,1,0,3,3,8,16
10.6758408,106.759516,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21.0829825,105.881158,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0
20.997167,105.799055,7,6,7,2,2,1,0,5,3,17,7,0,4,0,10,38
20.980954,105.817632,1,0,4,2,2,0,3,4,3,11,4,0,2,3,0,0
20.9697199,105.7984527,1,1,2,4,3,0,0,1,3,4,1,0,0,2,2,1
20.98327,105.7823339,3,3,4,0,0,0,0,6,0,10,2,0,1,4,1,11
10.818738,106.821473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.015023,105.8012798,6,5,43,11,2,3,7,47,1,23,10,0,4,6,9,35
10.748695,106.61264,0,1,8,3,0,5,0,33,3,6,2,0,0,4,5,5
21.022002,105.774704,0,2,8,5,3,1,1,5,0,9,2,0,1,2,2,9
21.089607,105.8126882,0,0,0,0,0,0,1,3,0,4,0,0,1,4,0,0
21.014174,105.810768,8,7,31,7,0,4,1,31,2,16,8,0,7,5,21,69
21.042287,105.81706,2,5,17,6,1,1,2,22,5,13,3,0,3,23,15,30
21.073761,105.812858,0,2,17,3,8,2,0,10,2,6,0,0,2,3,5,8
10.784073,106.800586,0,1,0,0,0,0,0,0,0,2,0,0,1,2,0,0
20.966969,105.832359,0,1,5,3,0,4,3,7,2,8,3,0,0,4,5,6
10.811482,106.695286,3,10,9,0,0,2,1,6,4,8,1,0,1,7,7,8
10.768657,106.669021,6,4,52,3,0,19,9,68,9,33,5,0,1,12,32,7
10.974683,106.518274,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.047696,105.735788,1,2,8,0,0,0,0,16,0,3,1,0,0,0,1,0
21.032816,105.763414,3,0,5,4,0,1,0,5,2,16,2,0,2,4,2,7
20.971983,105.748344,1,0,1,0,0,0,1,2,0,6,2,0,0,0,0,0
20.989024,105.765531,1,3,0,0,0,0,1,1,0,3,1,0,0,0,0,0
21.014473,105.8503637,2,5,106,7,4,25,1,176,10,21,14,0,12,8,38,103
21.068216,105.889735,0,3,1,1,2,0,0,0,1,6,1,0,1,1,0,5
20.975468,105.781978,2,3,8,1,0,1,2,11,4,14,4,0,1,5,4,23
10.7951809,106.6890184,3,4,66,2,0,18,4,67,5,15,0,0,1,30,43,21
21.042223,105.817208,2,5,17,6,1,1,2,22,5,13,3,0,3,23,15,31
10.788716,106.676324,4,3,56,3,2,5,4,47,5,17,1,0,2,45,29,19
21.0025101,105.8298183,4,0,26,7,0,7,3,16,7,13,6,0,6,3,27,45
20.974147,105.774628,1,1,5,1,0,2,2,8,5,17,2,0,3,6,4,20
20.996631,105.825704,2,0,7,1,0,0,1,4,3,7,0,0,3,1,12,22
10.8070255,106.7882419,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
20.991234,105.839688,2,4,9,3,1,5,2,7,3,10,5,0,5,1,19,16
10.790148,106.621252,0,6,4,0,0,1,3,3,0,11,1,0,1,5,0,4
10.7564115,106.6515776,0,12,10,2,0,5,9,14,3,27,2,0,1,20,45,5
21.0031997,105.8243757,4,2,15,7,1,22,2,40,5,13,3,0,4,3,14,51
21.0574207,105.8657287,0,0,3,2,0,0,2,3,0,6,1,0,1,2,0,1
21.025211,105.773686,0,2,3,3,2,0,1,4,2,11,4,0,1,4,2,7
21.015176,105.81703,3,7,22,6,0,5,2,25,5,15,7,0,6,7,23,68
10.7416532,106.70387,3,3,8,6,0,1,2,20,0,9,0,0,2,2,5,9
21.0035252,105.8021818,7,5,27,6,4,3,2,19,0,22,8,0,3,3,19,30
21.0918031,105.7775876,1,0,4,1,0,1,1,7,0,8,2,0,2,4,0,0
20.9841541,105.8599079,1,2,2,1,0,0,1,1,0,9,2,0,1,0,4,6
10.7911654,106.7007552,6,4,63,10,0,12,2,94,2,13,3,0,2,20,23,20
20.971641,105.790634,3,3,10,2,3,0,0,6,2,9,4,0,0,3,3,6
